crash_hour,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable
0,19833,6238,0.31452629455957243,0.30810045970929917,0.3210239670341194,31.452629455957243,30.810045970929917,32.10239670341194,True
1,10878,3232,0.2971134399705828,0.2885984149366615,0.30577171447231655,29.711343997058282,28.85984149366615,30.577171447231656,True
2,8900,2591,0.291123595505618,0.281777212109004,0.30065022011306075,29.112359550561802,28.1777212109004,30.065022011306077,True
3,8166,2401,0.29402400195934364,0.2842408659390366,0.3040008448916851,29.402400195934362,28.42408659390366,30.40008448916851,True
4,9023,2663,0.2951346558794193,0.28581226693969514,0.3046314160424013,29.51346558794193,28.581226693969512,30.46314160424013,True
5,9135,2606,0.28527640941434046,0.2761083305608933,0.2946250105225105,28.527640941434047,27.61083305608933,29.46250105225105,True
6,11833,3340,0.2822614721541452,0.2742232078693514,0.2904410687903954,28.22614721541452,27.42232078693514,29.04410687903954,True
7,15433,4475,0.28996306615693646,0.2828571949584311,0.2971734766007044,28.996306615693644,28.28571949584311,29.71734766007044,True
8,21770,5940,0.27285254937988057,0.2669760043666015,0.2788092465006593,27.285254937988057,26.697600436660153,27.88092465006593,True
9,19519,5258,0.2693785542292126,0.26320059050983957,0.2756472788495063,26.93785542292126,26.320059050983957,27.564727884950628,True
10,18776,4838,0.2576693651469962,0.25146355431237255,0.2639743181774572,25.76693651469962,25.146355431237254,26.39743181774572,True
11,19494,5530,0.2836770288293834,0.27739204792950467,0.2900472526338971,28.36770288293834,27.739204792950467,29.00472526338971,True
12,20727,5815,0.28055193708689147,0.27447665775643915,0.2867085475755045,28.055193708689146,27.447665775643916,28.67085475755045,True
13,21047,6428,0.3054116976291158,0.29922513711002263,0.3116692795768618,30.54116976291158,29.922513711002264,31.16692795768618,True
14,23861,7354,0.3082016679937974,0.30237399331624004,0.3140910914551585,30.820166799379738,30.237399331624005,31.409109145515853,True
15,24571,7868,0.3202148874689675,0.31440958419757675,0.3260763996469743,32.02148874689675,31.440958419757674,32.607639964697434,True
16,25720,8117,0.31559097978227063,0.30993897611007126,0.32129806276206996,31.55909797822706,30.993897611007128,32.129806276207,True
17,25083,7837,0.31244269026830923,0.306735820517342,0.3182070020976819,31.244269026830924,30.6735820517342,31.820700209768187,True
18,22293,7168,0.3215359081325977,0.3154358438431018,0.3276974688140594,32.15359081325977,31.54358438431018,32.76974688140594,True
19,19560,6288,0.3214723926380368,0.31496273227455096,0.3280521651676772,32.14723926380368,31.496273227455095,32.80521651676772,True
20,17446,5826,0.33394474378080935,0.3269835467193459,0.34097905530221057,33.394474378080936,32.69835467193459,34.097905530221055,True
21,16340,5694,0.3484700122399021,0.3412003961995423,0.35581086215724456,34.84700122399021,34.12003961995423,35.581086215724454,True
22,15637,5348,0.3420093368293151,0.33461348722594253,0.3494827956748447,34.20093368293151,33.46134872259425,34.94827956748447,True
23,14736,4893,0.3320439739413681,0.3244846846401421,0.33969081097712417,33.204397394136805,32.448468464014205,33.96908109771242,True
