borough_reported,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,share_of_all_crashes_pct
Not recorded,147427,61988,0.42046572201835486,0.41794798958581597,0.4229875992943876,42.04657220183549,41.794798958581595,42.29875992943876,True,30.21577573096898
Brooklyn,118521,47994,0.4049408965499785,0.4021493270019427,0.40773862816576123,40.49408965499785,40.214932700194275,40.77386281657612,True,24.29137102030276
Queens,91540,35446,0.3872187022066856,0.38406790071738917,0.3903789693383677,38.721870220668556,38.40679007173892,39.03789693383677,True,18.76150305176732
Manhattan,60375,23238,0.3848944099378882,0.38102058649821,0.3887828805494255,38.48944099378882,38.102058649821004,38.87828805494255,True,12.374106912283722
Bronx,56470,21853,0.3869842394191606,0.3829747993423602,0.391009055157809,38.69842394191606,38.297479934236016,39.1009055157809,True,11.573760949675558
Staten Island,13581,4756,0.35019512554303805,0.34221551204494405,0.358259464417056,35.01951255430381,34.2215512044944,35.8259464417056,True,2.78348233500166
