day_name,crash_hour,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable
Monday,0,3060,1154,0.37712418300653594,0.360115640581602,0.3944408612949964,37.712418300653596,36.011564058160204,39.44408612949964,True
Monday,1,1519,543,0.3574720210664911,0.3337577945727038,0.3819053446533327,35.74720210664911,33.37577945727038,38.19053446533327,True
Monday,2,1155,378,0.32727272727272727,0.30082341788176925,0.3548672304346184,32.72727272727273,30.082341788176926,35.486723043461836,True
Monday,3,991,291,0.29364278506559033,0.2661274747534941,0.3227518000978994,29.36427850655903,26.61274747534941,32.27518000978994,True
Monday,4,1188,404,0.3400673400673401,0.31368243664049444,0.36748324846396907,34.00673400673401,31.368243664049444,36.748324846396905,True
Monday,5,1423,466,0.3274771609276177,0.3035864851958667,0.352296830793799,32.74771609276177,30.358648519586666,35.229683079379896,True
Monday,6,2103,754,0.3585354255825012,0.3383135124694603,0.37927322969473465,35.85354255825012,33.83135124694603,37.927322969473465,True
Monday,7,3004,1111,0.3698402130492676,0.35275279554143657,0.3872601093934509,36.98402130492676,35.27527955414366,38.72601093934509,True
Monday,8,4223,1511,0.3578025100639356,0.3434799640122991,0.3723835308487337,35.78025100639356,34.347996401229906,37.238353084873374,True
Monday,9,3571,1232,0.34500140016802017,0.3295838159297233,0.3607521139195881,34.500140016802014,32.95838159297233,36.07521139195881,True
Monday,10,3204,1086,0.3389513108614232,0.3227622460214956,0.3555261083660775,33.89513108614232,32.27622460214956,35.55261083660775,True
Monday,11,3248,1175,0.36176108374384236,0.34540800212262546,0.37844078559200367,36.176108374384235,34.540800212262546,37.84407855920037,True
Monday,12,3446,1278,0.3708647707486941,0.3548889960747459,0.38712814465426615,37.086477074869414,35.488899607474586,38.71281446542662,True
Monday,13,3456,1406,0.4068287037037037,0.3905627655990644,0.4233015454144802,40.682870370370374,39.056276559906436,42.33015454144802,True
Monday,14,4121,1660,0.40281485076437756,0.3879372302774758,0.4178734946725442,40.281485076437754,38.79372302774758,41.78734946725442,True
Monday,15,4276,1795,0.4197848456501403,0.40507069101277976,0.43464300306412257,41.97848456501403,40.50706910127798,43.464300306412255,True
