day_name,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,fatal_crashes,fatal_per_1k
Monday,68782,27323,0.397240557122503,0.3935894567582893,0.4009031354498142,39.7240557122503,39.358945675828934,40.09031354498142,True,184,2.675118490302695
Tuesday,69275,28209,0.40720317574882714,0.40354972334989525,0.41086691955193994,40.72031757488271,40.354972334989526,41.08669195519399,True,155,2.237459400938289
Wednesday,69525,28751,0.413534699748292,0.40987888716663406,0.4172000670726955,41.353469974829196,40.987888716663406,41.720006707269555,True,167,2.4020136641495866
Thursday,70829,28673,0.40482005958011547,0.401210337877504,0.4084401053993615,40.48200595801155,40.1210337877504,40.84401053993615,True,182,2.5695689618659023
Friday,76040,30593,0.4023277222514466,0.3988473095233,0.40581800344005775,40.23277222514466,39.88473095233,40.58180034400578,True,210,2.761704366123093
Saturday,69126,26969,0.3901426380811851,0.3865125263336387,0.3937849595497949,39.01426380811851,38.65125263336387,39.37849595497949,True,220,3.1825941035211067
Sunday,64337,24757,0.38480190248224194,0.38104919892035477,0.388568362314654,38.4801902482242,38.104919892035475,38.8568362314654,True,186,2.8910269362886054
