crash_hour,n,casualty_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,road_user,hour_label
0,22133,1348,0.06090453169475444,0.05782932174733148,0.0641321418067105,6.090453169475444,5.782932174733148,6.41321418067105,True,Pedestrian,12 AM
1,11741,488,0.04156375095818073,0.038100883925739036,0.045326516236047734,4.156375095818073,3.8100883925739035,4.532651623604774,True,Pedestrian,1 AM
2,9489,357,0.03762251027505533,0.033977209337631854,0.0416420446484454,3.762251027505533,3.3977209337631855,4.1642044648445395,True,Pedestrian,2 AM
3,8678,317,0.03652915418299147,0.032782616527500745,0.04068585126854842,3.652915418299147,3.2782616527500745,4.068585126854842,True,Pedestrian,3 AM
4,9600,405,0.0421875,0.03834609222183267,0.04639516381887505,4.21875,3.834609222183267,4.639516381887505,True,Pedestrian,4 AM
5,9847,480,0.048745810906875194,0.04466572798318187,0.05317785118877437,4.87458109068752,4.466572798318187,5.3177851188774365,True,Pedestrian,5 AM
6,13309,1050,0.07889398151626718,0.07443460285332654,0.08359639182176971,7.889398151626718,7.4434602853326535,8.359639182176972,True,Pedestrian,6 AM
7,17653,1535,0.08695405880020393,0.08288680767670253,0.09120104278008583,8.695405880020393,8.288680767670254,9.120104278008583,True,Pedestrian,7 AM
8,25124,2335,0.09293902244865468,0.08941070454977222,0.09659180511265739,9.293902244865468,8.941070454977222,9.659180511265738,True,Pedestrian,8 AM
9,22228,1774,0.07980924959510527,0.0763187895680097,0.08344492519325415,7.980924959510527,7.63187895680097,8.344492519325415,True,Pedestrian,9 AM
10,21416,1723,0.08045386626821069,0.07688576166597183,0.0841724601651364,8.045386626821069,7.6885761665971835,8.417246016513639,True,Pedestrian,10 AM
11,22432,1853,0.08260520684736092,0.07907377579316144,0.08627957560507628,8.260520684736091,7.907377579316144,8.627957560507628,True,Pedestrian,11 AM
12,24104,2084,0.08645867905741786,0.08297627810824319,0.09007287615532224,8.645867905741786,8.29762781082432,9.007287615532224,True,Pedestrian,12 PM
13,24517,2101,0.08569563976016642,0.08225635736336395,0.08926473757327964,8.569563976016642,8.225635736336395,8.926473757327964,True,Pedestrian,1 PM
14,28099,2732,0.09722765934730773,0.09381838277355183,0.10074705220367126,9.722765934730774,9.381838277355182,10.074705220367127,True,Pedestrian,2 PM
15,29165,2860,0.09806274644265386,0.09470226896462929,0.10152909594497346,9.806274644265386,9.470226896462929,10.152909594497347,True,Pedestrian,3 PM
16,30469,2842,0.0932751321014802,0.0900607248781072,0.09659208796623221,9.32751321014802,9.006072487810721,9.659208796623222,True,Pedestrian,4 PM
17,30591,3506,0.11460887189042529,0.11108742446844795,0.11822710154629042,11.460887189042529,11.108742446844795,11.822710154629041,True,Pedestrian,5 PM
18,27521,3288,0.11947240289233677,0.11569337883193098,0.12335764626097999,11.947240289233676,11.569337883193098,12.335764626098,True,Pedestrian,6 PM
19,24301,2964,0.12197028928850664,0.11791535048853477,0.12614473011696897,12.197028928850665,11.791535048853477,12.614473011696898,True,Pedestrian,7 PM
20,21274,2400,0.11281376327912006,0.10863219451990008,0.11713514082862511,11.281376327912005,10.863219451990009,11.713514082862512,True,Pedestrian,8 PM
21,19539,1968,0.10072163365576539,0.096579797179105,0.10502044502927477,10.07216336557654,9.6579797179105,10.502044502927477,True,Pedestrian,9 PM
22,18180,1558,0.08569856985698569,0.08171655806792046,0.08985563600574546,8.56985698569857,8.171655806792046,8.985563600574546,True,Pedestrian,10 PM
23,16504,1069,0.06477217644207466,0.06111749228182223,0.0686294275093151,6.477217644207466,6.111749228182223,6.862942750931509,True,Pedestrian,11 PM
0,22133,958,0.043283784394343286,0.0406811449742875,0.04604493974413954,4.328378439434329,4.06811449742875,4.604493974413955,True,Cyclist,12 AM
1,11741,377,0.03210970104761093,0.02907073845535315,0.035454746503081704,3.2109701047610932,2.907073845535315,3.5454746503081704,True,Cyclist,1 AM
2,9489,233,0.02455474760248709,0.021627868745811293,0.02786643652101207,2.455474760248709,2.1627868745811294,2.786643652101207,True,Cyclist,2 AM
3,8678,197,0.022701083198893756,0.019771978660932745,0.026052584643700694,2.2701083198893754,1.9771978660932745,2.6052584643700696,True,Cyclist,3 AM
4,9600,173,0.018020833333333333,0.015546097531424193,0.020881158828155916,1.8020833333333333,1.5546097531424192,2.0881158828155915,True,Cyclist,4 AM
5,9847,232,0.02356047527165634,0.0207452613679804,0.026747289928347424,2.356047527165634,2.07452613679804,2.6747289928347424,True,Cyclist,5 AM
6,13309,431,0.03238410098429634,0.029508979405490302,0.03552909631231888,3.238410098429634,2.95089794054903,3.552909631231888,True,Cyclist,6 AM
7,17653,694,0.0393134311448479,0.036545351875602816,0.042281973618442506,3.93134311448479,3.6545351875602816,4.22819736184425,True,Cyclist,7 AM
8,25124,1032,0.041076261741760864,0.03869146875774842,0.04360137727802093,4.107626174176087,3.8691468757748417,4.360137727802093,True,Cyclist,8 AM
