time_period,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,fatal_crashes,fatal_per_1k,fatal_per_1k_low,fatal_per_1k_high,share_of_all_crashes_pct
Late Night,71488,25155,0.3518772381378693,0.3483845113383064,0.3553858836321878,35.18772381378693,34.83845113383064,35.53858836321878,True,359,5.021821844225604,4.529575574548109,5.567263223349078,14.651762400750954
Morning Commute,78314,28681,0.3662308144137702,0.3628631859434889,0.3696115660164783,36.62308144137702,36.286318594348884,36.96115660164783,True,167,2.132441198253186,1.8328675924323858,2.480857008476432,16.05077944063913
Daytime,149733,58958,0.3937542158375241,0.39128220508251377,0.3962316782075156,39.37542158375241,39.128220508251374,39.62316782075156,True,274,1.8299239312643172,1.6258514684807281,2.059558174886559,30.688400004918897
Evening Commute,112882,49530,0.43877677574812635,0.4358840091286372,0.44167370932309824,43.87767757481264,43.58840091286372,44.16737093230982,True,228,2.0198082953881045,1.7742971168311779,2.2992128422778126,23.135634558549253
Night,75497,32951,0.43645442865279416,0.4329200163011867,0.4399953075989908,43.64544286527941,43.29200163011867,43.99953075989908,True,276,3.6557744016318527,3.2497876299523827,4.1122707023881135,15.473423595141767
