crash_hour,n,injury_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,fatal_crashes,fatal_per_1k,fatal_per_1k_low,fatal_per_1k_high,share_of_all_crashes_pct,hour_label,n_excl_placeholder,fatal_crashes_excl_placeholder,fatal_per_1k_excl_placeholder,fatal_per_1k_excl_low,fatal_per_1k_excl_high
0,22133,8513,0.38462928658564133,0.3782403126478803,0.3910583031040615,38.46292865856413,37.824031264788026,39.10583031040615,True,70,3.16269823340713,2.504238391362803,3.9935991321256434,4.536250240821128,12 AM,13606,69,5.071292077024842,4.0094480190758945,6.412539552035881
1,11741,4081,0.347585384549868,0.33902267562317107,0.3562477995444124,34.7585384549868,33.90226756231711,35.62477995444124,True,53,4.514095903245039,3.4530083232560584,5.89931874431376,2.406366695770156,1 AM,11741,53,4.514095903245039,3.4530083232560584,5.89931874431376
2,9489,3161,0.33312256296764675,0.3237082253669508,0.3426719657867706,33.31225629676467,32.37082253669508,34.26719657867706,True,60,6.323110970597534,4.91584880675129,8.129939295306578,1.9448099460150765,2 AM,9489,60,6.323110970597534,4.91584880675129,8.129939295306578
3,8678,2891,0.33314127679188754,0.32330009572130775,0.3431301234156091,33.31412767918876,32.33000957213078,34.31301234156091,True,62,7.144503341783821,5.577558295109325,9.147612456681404,1.778592128940756,3 AM,8678,62,7.144503341783821,5.577558295109325,9.147612456681404
4,9600,3225,0.3359375,0.32655647710073976,0.34544977506401897,33.59375,32.65564771007398,34.5449775064019,True,61,6.354166666666667,4.950207254345804,8.153049259172704,1.9675598568600203,4 AM,9600,61,6.354166666666667,4.950207254345804,8.153049259172704
5,9847,3284,0.33350258962120444,0.32425689544666514,0.34287814406102535,33.35025896212044,32.42568954466651,34.287814406102534,True,53,5.382349954300802,4.117535497181591,7.032943259882171,2.018183532343815,5 AM,9847,53,5.382349954300802,4.117535497181591,7.032943259882171
6,13309,4787,0.3596814185889248,0.3515695541007137,0.36787426471554857,35.96814185889248,35.15695541007137,36.78742647155486,True,57,4.282816139454504,3.307365928039671,5.544358109599296,2.7277348057239594,6 AM,13309,57,4.282816139454504,3.307365928039671,5.544358109599296
7,17653,6681,0.37846258426329804,0.3713350484821731,0.3856430058489028,37.846258426329804,37.13350484821731,38.56430058489028,True,29,1.6427802639777942,1.1440924160710202,2.3583233274105315,3.618055640953119,7 AM,17653,29,1.6427802639777942,1.1440924160710202,2.3583233274105315
8,25124,9264,0.3687310937748766,0.36278571511952773,0.37471660979165766,36.87310937748766,36.27857151195278,37.47166097916577,True,47,1.8707212227352332,1.4071869994912305,2.4865656577206803,5.149268108724078,8 AM,25124,47,1.8707212227352332,1.4071869994912305,2.4865656577206803
9,22228,7949,0.3576120208745726,0.35133610474456867,0.36393714549305456,35.761202087457264,35.133610474456866,36.39371454930546,True,34,1.5296023034011157,1.094847140416433,2.13662604532271,4.555720885237973,9 AM,22228,34,1.5296023034011157,1.094847140416433,2.13662604532271
