year,crashes,injury_crashes,fatal_crashes,persons_injured,persons_killed,injury_crash_rate_pct,fatal_crashes_per_1k
2021,110558,38590,287,51785,297,34.904755874744474,2.5959225022160313
2022,103887,39133,280,51933,290,37.66881322975926,2.695236170069402
2023,96607,40264,269,54252,280,41.67813926527063,2.7844773153084144
2024,91316,40040,252,54030,268,43.84773752682991,2.7596478163739104
2025,85546,37248,216,49634,229,43.54148645173357,2.524957332896921
