time_period,n,casualty_crashes,rate,ci_low,ci_high,rate_pct,ci_low_pct,ci_high_pct,reliable,people_injured,people_killed,road_user
Late Night,71488,3395,0.0474904879140555,0.04595554313589153,0.049074063710884686,4.74904879140555,4.595554313589153,4.907406371088468,True,3426,136,Pedestrian
Morning Commute,78314,6694,0.0854764154557295,0.08353849121005806,0.08745500562808768,8.547641545572949,8.353849121005807,8.745500562808768,True,6867,94,Pedestrian
Daytime,149733,13353,0.08917873815391397,0.08774566581645862,0.0906328902863302,8.917873815391397,8.774566581645862,9.06328902863302,True,13769,131,Pedestrian
Evening Commute,112882,12600,0.11162098474513209,0.10979715724425555,0.11347124597416897,11.16209847451321,10.979715724425555,11.347124597416897,True,13011,114,Pedestrian
Night,75497,6995,0.09265268818628555,0.09060509445503467,0.09474173484441514,9.265268818628556,9.060509445503467,9.474173484441515,True,7227,142,Pedestrian
Late Night,71488,2170,0.0303547448522829,0.029122113395324077,0.031637848899450545,3.03547448522829,2.9122113395324076,3.1637848899450547,True,2189,19,Cyclist
Morning Commute,78314,3105,0.039648083356743365,0.0383038443607723,0.041037484167362206,3.9648083356743364,3.83038443607723,4.103748416736221,True,3137,18,Cyclist
Daytime,149733,7983,0.053314900522930815,0.052188364278771306,0.05446435678409904,5.3314900522930815,5.218836427877131,5.446435678409904,True,8066,30,Cyclist
Evening Commute,112882,7710,0.06830141209404511,0.06684443283070647,0.06978777348842506,6.830141209404511,6.684443283070647,6.978777348842506,True,7839,20,Cyclist
Night,75497,4384,0.058068532524471174,0.056422620526696374,0.05975941684015597,5.806853252447118,5.642262052669637,5.975941684015597,True,4444,29,Cyclist
Late Night,71488,19104,0.26723366159355416,0.26400232947665203,0.2704900090169755,26.723366159355415,26.400232947665202,27.04900090169755,True,29729,219,Motorist
Morning Commute,78314,17961,0.2293459662384759,0.2264147838733079,0.23230370052373914,22.93459662384759,22.64147838733079,23.230370052373914,True,25893,57,Motorist
Daytime,149733,35360,0.23615368689600824,0.23400918939636708,0.23831172270707088,23.615368689600825,23.400918939636707,23.83117227070709,True,51941,99,Motorist
Evening Commute,112882,27107,0.24013571694335678,0.23765263249013618,0.24263648819619085,24.013571694335678,23.765263249013618,24.263648819619085,True,40869,84,Motorist
Night,75497,20324,0.2692027497781369,0.26605060318161816,0.27237838301924555,26.92027497781369,26.605060318161815,27.237838301924555,True,33052,106,Motorist
