crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2021-01-01T00:00:00.000,7:38,,,40.587204,-74.15978,"(40.587204, -74.15978)",NOME AVENUE                     ,PURDUE COURT,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4380774,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,10:57,BRONX,10467.0,40.879955,-73.87888,"(40.879955, -73.87888)",,,3415      BAINBRIDGE AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,,,,,4380775,Ambulance,,,,
2021-01-01T00:00:00.000,4:40,QUEENS,11691.0,40.601368,-73.760056,"(40.601368, -73.760056)",ROCKAWAY FREEWAY                ,OCEAN CREST BOULEVARD,,1,2,0,0,0,0,1,2,Unsafe Speed,Unspecified,,,,4380776,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,7:46,,,40.859444,-73.915985,"(40.859444, -73.915985)",MAJOR DEEGAN EXPRESSWAY         ,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,4380777,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,
2021-01-01T00:00:00.000,6:45,,,,,,BROOKVILLE BOULEVARD            ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,4380778,Sedan,Sedan,,,
2021-01-01T00:00:00.000,3:15,QUEENS,11434.0,40.665165,-73.767876,"(40.665165, -73.767876)",,,145-51    FARMERS BOULEVARD             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4380779,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
2021-01-01T00:00:00.000,3:00,QUEENS,11413.0,40.656384,-73.75306,"(40.656384, -73.75306)",230 STREET                      ,148 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4380780,Sedan,,,,
2021-01-01T00:00:00.000,2:50,QUEENS,11004.0,40.745,-73.71808,"(40.745, -73.71808)",,,77-26     LITTLE NECK PARKWAY           ,1,0,0,0,0,0,1,0,Steering Failure,,,,,4380781,Sedan,,,,
2021-01-01T00:00:00.000,6:45,MANHATTAN,10017.0,40.752377,-73.97035,"(40.752377, -73.97035)",EAST 46 STREET                  ,2 AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4380782,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,6:45,,,,,,BROOKVILLE BOULEVARD            ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,Pavement Slippery,,,4380783,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
2021-01-01T00:00:00.000,0:00,QUEENS,11434.0,40.664536,-73.77314,"(40.664536, -73.77314)",,,145-8     175 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4380785,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,9:20,,,40.660133,-73.76653,"(40.660133, -73.76653)",181 STREET                      ,147 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4380786,Sedan,Flat Bed,,,
